,clusters
5-44,1
5-32,1
5-9,1
5-3,1
5-16,1
5-46,1
5-7,1
5-37,1
5-22,1
5-4,1
5-42,1
5-24,1
5-17,1
5-29,1
5-18,0
5-2,1
5-45,1
5-15,1
5-28,1
5-6,1
5-23,1
5-41,1
5-26,1
5-33,1
5-12,1
5-36,1
5-39,1
5-13,1
5-5,1
5-10,1
5-43,1
5-20,1
5-38,1
5-14,1
5-40,1
5-11,1
5-21,1
5-30,1
5-34,1
5-8,1
6-17,1
6-69,1
6-56,1
6-46,1
6-35,1
6-50,1
6-22,1
6-40,1
6-57,1
6-60,1
6-42,1
6-36,1
6-37,1
6-53,1
6-23,1
6-66,1
6-63,1
6-29,1
6-55,1
6-28,1
6-43,1
6-38,1
6-16,1
6-51,1
6-48,1
6-54,1
6-18,1
6-71,1
6-58,1
6-20,1
6-33,1
6-70,1
6-72,1
6-31,1
6-25,1
6-76,1
6-24,1
6-32,1
6-47,1
6-44,1
6-78,1
6-73,1
6-67,1
6-68,1
6-61,1
6-52,1
6-19,1
6-77,1
6-26,1
6-74,1
6-27,1
6-64,1
6-65,1
6-80,1
6-49,1
6-21,1
6-75,1
6-45,1
6-34,1
6-39,1
6-30,1
6-59,1
6-41,1
8-61,1
8-56,1
8-63,1
8-34,1
8-74,1
8-66,1
8-78,1
8-36,1
8-31,1
8-76,1
8-72,1
8-48,1
8-39,1
8-58,1
8-67,1
8-50,1
8-69,1
8-44,1
8-60,1
8-40,1
8-35,1
8-33,1
8-79,1
8-43,1
8-62,1
8-57,1
8-73,1
8-42,1
8-77,1
8-71,1
8-65,1
8-75,1
8-70,1
8-45,1
8-55,1
8-41,1
8-51,1
8-54,1
8-38,1
8-64,1
8-68,1
8-59,1
8-47,1
8-32,1
8-46,1
8-53,1
8-52,1
8-49,1
10-25,1
10-21,1
10-13,1
10-27,1
10-20,1
10-15,1
10-16,1
10-31,1
10-33,1
10-29,1
10-24,1
10-18,1
10-17,1
10-22,1
10-14,1
10-28,1
2-92,1
2-57,1
2-87,1
2-84,1
2-90,1
2-62,1
2-82,1
2-46,1
2-79,1
2-88,1
2-48,1
2-43,1
2-68,1
2-67,1
2-47,1
2-70,1
2-49,1
2-41,1
2-72,1
2-78,1
2-85,1
2-75,1
2-86,1
2-44,1
2-53,1
2-61,1
2-65,1
2-54,1
2-50,1
2-52,1
2-69,1
2-89,1
2-76,1
2-71,1
2-55,1
2-91,1
2-83,1
2-64,1
2-45,1
2-95,1
2-96,1
2-56,1
2-93,1
2-73,1
2-60,1
2-66,1
2-80,1
2-58,1
2-59,1
2-63,1
2-94,1
2-74,1
2-40,1
2-81,1
2-77,1
2-42,1
9-84,1
9-66,1
9-51,1
9-26,1
9-44,1
9-37,1
9-30,1
9-86,1
9-31,1
9-57,1
9-32,1
9-61,1
9-36,1
9-24,1
9-58,1
9-48,1
9-35,1
9-55,1
9-22,1
9-38,1
9-23,1
9-27,1
9-52,1
9-63,1
9-59,1
9-89,1
9-85,1
9-28,1
9-64,1
9-60,1
9-92,1
9-88,1
9-49,1
9-41,1
9-90,1
9-29,1
9-96,1
9-65,1
9-39,1
9-40,1
9-91,1
9-42,1
9-43,1
9-93,1
9-33,1
9-62,1
9-45,1
9-53,1
9-25,1
9-21,1
9-54,1
9-47,1
9-46,1
9-56,1
9-67,1
9-87,1
9-94,1
9-50,1
9-34,1
10-3,1
10-2,1
10-11,1
10-12,1
10-7,1
10-9,1
10-10,1
10-1,1
10-4,1
