"","UMAP_1","UMAP_2"
"N402Barcode_714.507",-2.41109940964045,0.997154530336165
"N402Barcode_726.507",-2.06418559509578,0.656539257814193
"N402Barcode_728.516",-1.86172864395442,1.09419279937913
"N402Barcode_723.516",2.01085498374639,-1.21130293960402
"N402Barcode_704.511",-0.212755894244335,-0.414649430464006
"N402Barcode_715.507",0.85027887862859,2.16951542740037
"N402Barcode_720.505",0.372394586026051,-3.2858134543402
"N402Barcode_711.522",2.00398209136663,-1.64446992034743
"N402Barcode_716.518",0.247303510128834,0.741758164216781
"N402Barcode_721.513",-2.51972625213923,2.70791750793626
"N402Barcode_722.517",2.05538489860235,1.39966278915575
"N402Barcode_705.511",-0.900814032138011,-0.000277701566910871
"N402Barcode_727.506",0.0237610582703138,-2.23980993385146
"N402Barcode_719.506",-1.91826055008235,2.37731295471361
"N402Barcode_721.506",-1.32284257370295,2.76849776153734
"N402Barcode_720.515",-1.4925780053741,-0.221618596266008
"N402Barcode_712.508",-1.92541358429255,-0.572519246290422
"N402Barcode_711.511",-0.0236007924682116,-0.0298520957929851
"N402Barcode_716.515",-2.30868575531306,-0.41250676269362
"N402Barcode_721.518",-0.420038914263866,0.619031246949935
"N402Barcode_723.503",-1.46530482727351,1.73520928268602
"N402Barcode_705.520",-0.6331538911468,-0.511594239423967
"N402Barcode_723.513",-0.0498549695617174,0.0892232025163411
"N402Barcode_710.510",-0.724509691775463,-1.13561886901686
"N402Barcode_726.517",-0.874054884493968,-0.336763564298844
"N402Barcode_724.506",-0.923703646243236,-2.89589065666029
"N402Barcode_724.515",3.40416139554916,-0.934459630201554
"N402Barcode_706.516",0.428200745999196,-0.311454955290055
"N402Barcode_711.513",-1.18657634216609,-1.39390677566359
"N402Barcode_716.522",0.0125062708252455,1.63275080566576
"N402Barcode_711.521",-0.128668283999584,-1.80117267722914
"N402Barcode_706.521",1.03210356277166,2.35374050979784
"N402Barcode_712.518",3.76590290111242,1.19079619293382
"N402Barcode_705.517",-2.06246612030329,0.451712902833724
"N402Barcode_714.515",2.19289567512212,-1.49239963645766
"N402Barcode_712.503",-0.32181355911555,-2.64978689307997
"N402Barcode_727.521",4.04772075456319,-0.472253504942155
"N402Barcode_704.522",0.296282315670827,0.939453419496322
"N402Barcode_728.518",3.37952655744491,-1.20663494224379
"N402Barcode_718.518",-2.34610745865168,3.29951172714403
"N402Barcode_707.510",-2.54611298996272,-2.5892100965483
"N402Barcode_716.511",-0.328183865130565,0.130494889070296
"N402Barcode_727.505",-2.35852143722834,1.16627961044481
"N402Barcode_712.502",0.959949040829518,-2.65806812400649
"N402Barcode_710.518",2.34504022639928,0.115239437867904
"N402Barcode_724.518",0.596388125836232,-0.554080907057023
"N402Barcode_719.507",-2.93557069259944,-0.605660382459855
"N402Barcode_710.520",2.17058363002477,-1.10193342323134
"N402Barcode_707.520",-0.734959101260326,0.461785610963607
"N402Barcode_706.520",2.31895961803136,1.83869677429368
"N402Barcode_710.517",0.930987143933156,0.190059479524398
"N402Barcode_701.506",3.17607122105298,1.31714135055711
"N402Barcode_711.518",-2.04824922043147,2.89255600814989
"N402Barcode_704.517",3.73914741915403,-0.78712195510695
"N402Barcode_728.517",-2.36017224747004,-1.39134472961257
"N402Barcode_706.505",-0.911785101473949,1.03595810775926
"N402Barcode_722.505",-2.38852212387385,-2.07939857597182
"N402Barcode_718.517",2.20037856143651,-0.10241097564528
"N402Barcode_701.510",-0.222137665331981,-2.36084169502089
"N402Barcode_704.520",2.63718982976613,0.586058434297347
"N402Barcode_710.508",-1.75015780884089,-0.73688191528151
"N402Barcode_723.511",0.374261641918995,2.16886549835374
"N402Barcode_710.516",3.67053165477453,0.619907196809554
"N402Barcode_703.513",0.118161464154103,1.22353773956468
"N402Barcode_716.508",-0.00335690933527699,-0.916703168104386
"N402Barcode_716.502",-0.733486151278636,-3.01580173129866
"N402Barcode_704.513",0.0953660253876234,-3.25309026593993
"N402Barcode_716.521",-1.78195569473567,1.94774561767747
"N402Barcode_726.510",3.72282300335107,1.25141459350755
"N402Barcode_712.520",-2.28911731201472,-0.0295736228925945
"N402Barcode_718.507",2.98082890552221,-0.458241645048356
"N402Barcode_716.503",-1.11053702789607,-0.77252668495009
"N402Barcode_716.517",-2.44576833206477,-1.83351630325148
"N402Barcode_718.510",0.441265607296803,-1.70036548728774
"N402Barcode_724.508",3.46721761119304,-1.09430450553725
"N402Barcode_720.510",-0.112957453311107,-2.11138445491622
"N402Barcode_712.511",-2.9765228982574,0.748239811708236
"N402Barcode_719.511",2.81416531842885,-0.45489424819777
"N402Barcode_712.515",1.55596509021459,0.329510029603743
"N402Barcode_712.505",2.07094636005101,0.713320072938704
"N402Barcode_707.517",-0.318775867999217,2.63609486465623
"N402Barcode_721.511",1.83973207515416,0.304376896669173
"N402Barcode_727.511",-2.7311968560821,-2.45281678790877
"N402Barcode_723.505",-0.57955977875056,-1.78979081268141
"N402Barcode_718.522",-2.95912549454036,-0.57002252693007
"N402Barcode_721.515",0.675636792599537,2.63425379638841
"N402Barcode_728.513",0.95108249229131,-1.86322802657912
"N402Barcode_701.502",0.784785056530812,-2.22615164871047
"N402Barcode_711.515",2.94449218553243,1.00114851837327
"N402Barcode_719.520",-0.830920195162914,-0.469405356596208
"N402Barcode_711.503",-1.65641925293269,-2.37982434387038
"N402Barcode_711.517",3.89687635940252,0.0440157020585774
"N402Barcode_723.521",3.00345026892362,0.0133393371598958
"N402Barcode_719.505",-1.32502171951594,-2.4800768529875
"N402Barcode_727.517",-0.162778114855907,-0.92628473396132
"N402Barcode_724.517",1.333579087674,0.511067208101058
"N402Barcode_722.522",-2.1720041986114,2.26865511779954
"N402Barcode_712.517",-1.48524568039241,3.28824931030443
"N402Barcode_722.515",0.315740609585621,-0.696447077940202
"N402Barcode_728.511",0.698557877957203,-2.78591794128249
"N402Barcode_707.516",-0.975155806124828,2.19186383133104
"N402Barcode_706.507",-1.58347032028498,0.534943875123763
"N402Barcode_707.502",-2.63126561600032,3.08081513290575
"N402Barcode_719.521",1.0782194380158,-1.6049754058821
"N402Barcode_701.507",-2.39541718918147,0.734129246522689
"N402Barcode_721.502",-2.84652278381648,2.24014836197069
"N402Barcode_723.522",0.722056889950612,1.96841269378831
"N402Barcode_701.522",-0.508762812197826,1.42118960266283
"N402Barcode_724.502",0.293257499157765,-2.84633785838912
"N402Barcode_711.505",1.85425725024877,-0.506510916898942
"N402Barcode_728.522",-1.69390914398494,1.69855671768358
"N402Barcode_705.516",-1.9345569368011,1.54478674774339
"N402Barcode_714.506",-2.46375987488093,2.77109890823534
"N402Barcode_718.506",3.18561288160024,0.149147805024886
"N402Barcode_722.503",1.33727576774297,-1.36771434898207
"N402Barcode_702.506",1.6581081394547,-1.45359748954604
"N402Barcode_715.513",-1.94661138016047,2.78411322479417
